date,campaign_id,campaign_name,platform,impressions,clicks,spend,conversions,revenue
2026-03-11,CAMP-01,Summer Sale DE,google,13261,375,165.77,19,983.56
2026-03-11,CAMP-02,Brand Awareness EU,meta,55535,765,246.82,9,394.92
2026-03-11,CAMP-03,Retargeting EU,google,7462,382,88.62,20,1026.16
2026-03-11,CAMP-04,TikTok Summer Vibes,tiktok,37977,632,227.87,15,696.26
2026-03-11,CAMP-05,Google Shopping Feed,google,14500,696,241.67,33,1740.06
2026-03-11,CAMP-06,Meta Retargeting,meta,8878,337,106.55,17,843.5
2026-03-12,CAMP-01,Summer Sale DE,google,8696,246,108.7,13,644.97
2026-03-12,CAMP-02,Brand Awareness EU,meta,48084,662,213.71,8,341.94
2026-03-12,CAMP-03,Retargeting EU,google,9965,510,118.34,27,1370.26
2026-03-12,CAMP-04,TikTok Summer Vibes,tiktok,37466,624,224.8,14,686.89
2026-03-12,CAMP-05,Google Shopping Feed,google,15949,765,265.82,37,1913.89
2026-03-12,CAMP-06,Meta Retargeting,meta,11882,451,142.59,23,1128.82
2026-03-13,CAMP-01,Summer Sale DE,google,10307,292,128.85,15,764.49
2026-03-13,CAMP-02,Brand Awareness EU,meta,44886,618,199.5,7,319.19
2026-03-13,CAMP-03,Retargeting EU,google,9312,477,110.58,25,1280.43
2026-03-13,CAMP-04,TikTok Summer Vibes,tiktok,27738,462,166.43,11,508.53
2026-03-13,CAMP-05,Google Shopping Feed,google,12953,621,215.89,30,1554.42
2026-03-13,CAMP-06,Meta Retargeting,meta,8721,331,104.65,17,828.51
2026-03-14,CAMP-01,Summer Sale DE,google,11642,329,145.53,17,863.48
2026-03-14,CAMP-02,Brand Awareness EU,meta,45082,621,200.37,8,320.59
2026-03-14,CAMP-03,Retargeting EU,google,9213,472,109.41,25,1266.85
2026-03-14,CAMP-04,TikTok Summer Vibes,tiktok,31069,517,186.42,12,569.61
2026-03-14,CAMP-05,Google Shopping Feed,google,18154,871,302.58,42,2178.59
2026-03-14,CAMP-06,Meta Retargeting,meta,13904,528,166.85,27,1320.9
2026-03-15,CAMP-01,Summer Sale DE,google,13353,378,166.92,20,990.42
2026-03-15,CAMP-02,Brand Awareness EU,meta,50498,695,224.44,8,359.1
2026-03-15,CAMP-03,Retargeting EU,google,7840,401,93.11,21,1078.1
2026-03-15,CAMP-04,TikTok Summer Vibes,tiktok,41244,687,247.47,16,756.15
2026-03-15,CAMP-05,Google Shopping Feed,google,12359,593,205.99,28,1483.15
2026-03-15,CAMP-06,Meta Retargeting,meta,13247,503,158.97,26,1258.5
2026-03-16,CAMP-01,Summer Sale DE,google,10128,286,126.6,15,751.17
2026-03-16,CAMP-02,Brand Awareness EU,meta,42010,578,186.72,7,298.74
2026-03-16,CAMP-03,Retargeting EU,google,7615,390,90.43,20,1047.13
2026-03-16,CAMP-04,TikTok Summer Vibes,tiktok,29555,492,177.33,11,541.86
2026-03-16,CAMP-05,Google Shopping Feed,google,10725,514,178.75,25,1287.02
2026-03-16,CAMP-06,Meta Retargeting,meta,12232,464,146.79,24,1162.11
2026-03-17,CAMP-01,Summer Sale DE,google,8562,242,107.03,12,635.03
2026-03-17,CAMP-02,Brand Awareness EU,meta,54897,756,243.99,9,390.38
2026-03-17,CAMP-03,Retargeting EU,google,7622,390,90.51,20,1048.03
2026-03-17,CAMP-04,TikTok Summer Vibes,tiktok,27384,456,164.31,10,502.05
2026-03-17,CAMP-05,Google Shopping Feed,google,13273,637,221.22,30,1592.78
2026-03-17,CAMP-06,Meta Retargeting,meta,9670,367,116.05,19,918.74
2026-03-18,CAMP-01,Summer Sale DE,google,9837,278,122.97,14,729.65
2026-03-18,CAMP-02,Brand Awareness EU,meta,33883,466,150.59,6,240.95
2026-03-18,CAMP-03,Retargeting EU,google,7122,365,84.57,19,979.28
2026-03-18,CAMP-04,TikTok Summer Vibes,tiktok,29481,491,176.89,11,540.49
2026-03-18,CAMP-05,Google Shopping Feed,google,12369,593,206.15,28,1484.31
2026-03-18,CAMP-06,Meta Retargeting,meta,11661,443,139.94,23,1107.86
2026-03-19,CAMP-01,Summer Sale DE,google,8827,250,110.35,13,654.72
2026-03-19,CAMP-02,Brand Awareness EU,meta,47385,652,210.6,8,336.97
2026-03-19,CAMP-03,Retargeting EU,google,9386,481,111.46,25,1290.59
2026-03-19,CAMP-04,TikTok Summer Vibes,tiktok,32580,543,195.48,13,597.31
2026-03-19,CAMP-05,Google Shopping Feed,google,10918,524,181.98,25,1310.23
2026-03-19,CAMP-06,Meta Retargeting,meta,12106,460,145.28,24,1150.13
2026-03-20,CAMP-01,Summer Sale DE,google,13717,388,171.46,20,1017.35
2026-03-20,CAMP-02,Brand Awareness EU,meta,53000,730,235.56,9,376.89
2026-03-20,CAMP-03,Retargeting EU,google,7388,378,87.74,20,1015.92
2026-03-20,CAMP-04,TikTok Summer Vibes,tiktok,27427,457,164.56,10,502.83
2026-03-20,CAMP-05,Google Shopping Feed,google,15056,722,250.94,35,1806.74
2026-03-20,CAMP-06,Meta Retargeting,meta,8453,321,101.44,16,803.04
2026-03-21,CAMP-01,Summer Sale DE,google,12065,341,150.82,18,894.85
2026-03-21,CAMP-02,Brand Awareness EU,meta,44403,611,197.35,7,315.76
2026-03-21,CAMP-03,Retargeting EU,google,7787,399,92.48,21,1070.82
2026-03-21,CAMP-04,TikTok Summer Vibes,tiktok,44502,741,267.01,17,815.87
2026-03-21,CAMP-05,Google Shopping Feed,google,20360,977,339.33,47,2443.21
2026-03-21,CAMP-06,Meta Retargeting,meta,12567,477,150.81,25,1193.9
2026-03-22,CAMP-01,Summer Sale DE,google,13159,372,164.5,19,976.01
2026-03-22,CAMP-02,Brand Awareness EU,meta,43863,604,194.95,7,311.92
2026-03-22,CAMP-03,Retargeting EU,google,11705,599,139.0,32,1609.46
2026-03-22,CAMP-04,TikTok Summer Vibes,tiktok,43065,717,258.39,17,789.53
