order_id,order_date,product_id,product_name,category,quantity,unit_price,cost_price,total_amount,gross_profit,refund_amount,order_status,country,channel
ORD-00001,2026-03-11,PROD-001,Wireless Headphones,Electronics,1,49.99,22.0,49.99,27.99,0.0,completed,NL,mobile
ORD-00002,2026-03-11,PROD-001,Wireless Headphones,Electronics,3,49.99,22.0,149.97,83.97,0.0,completed,AT,web
ORD-00003,2026-03-11,PROD-001,Wireless Headphones,Electronics,1,49.99,22.0,49.99,27.99,0.0,completed,DE,web
ORD-00004,2026-03-11,PROD-001,Wireless Headphones,Electronics,2,49.99,22.0,99.98,55.98,0.0,completed,DE,mobile
ORD-00005,2026-03-11,PROD-002,Bluetooth Speaker,Electronics,2,79.99,35.0,159.98,89.98,0.0,completed,DE,web
ORD-00006,2026-03-11,PROD-002,Bluetooth Speaker,Electronics,4,79.99,35.0,319.96,179.96,0.0,completed,DE,web
ORD-00007,2026-03-11,PROD-002,Bluetooth Speaker,Electronics,2,79.99,35.0,159.98,89.98,0.0,completed,FR,mobile
ORD-00008,2026-03-11,PROD-003,USB-C Charging Cable,Electronics,1,9.99,2.5,9.99,7.49,0.0,completed,FR,mobile
ORD-00009,2026-03-11,PROD-003,USB-C Charging Cable,Electronics,3,9.99,2.5,29.97,22.47,0.0,completed,NL,web
ORD-00010,2026-03-11,PROD-003,USB-C Charging Cable,Electronics,1,9.99,2.5,9.99,7.49,0.0,completed,DE,web
ORD-00011,2026-03-11,PROD-003,USB-C Charging Cable,Electronics,1,9.99,2.5,9.99,7.49,0.0,completed,CH,web
ORD-00012,2026-03-11,PROD-003,USB-C Charging Cable,Electronics,1,9.99,2.5,9.99,7.49,0.0,completed,DE,marketplace
ORD-00013,2026-03-11,PROD-004,Laptop Stand,Electronics,1,34.99,14.0,34.99,20.99,0.0,completed,DE,web
ORD-00014,2026-03-11,PROD-004,Laptop Stand,Electronics,5,34.99,14.0,174.95,104.95,0.0,completed,CH,mobile
ORD-00015,2026-03-11,PROD-005,Phone Case - Classic,Accessories,1,12.5,3.2,12.5,9.3,12.5,refunded,DE,web
ORD-00016,2026-03-11,PROD-005,Phone Case - Classic,Accessories,1,12.5,3.2,12.5,9.3,0.0,completed,FR,web
ORD-00017,2026-03-11,PROD-005,Phone Case - Classic,Accessories,2,12.5,3.2,25.0,18.6,0.0,completed,BE,web
ORD-00018,2026-03-11,PROD-005,Phone Case - Classic,Accessories,1,12.5,3.2,12.5,9.3,0.0,completed,CH,web
ORD-00019,2026-03-11,PROD-005,Phone Case - Classic,Accessories,1,12.5,3.2,12.5,9.3,0.0,completed,DE,web
ORD-00020,2026-03-11,PROD-006,Phone Case - Premium,Accessories,1,24.99,8.0,24.99,16.99,0.0,completed,DE,mobile
ORD-00021,2026-03-11,PROD-006,Phone Case - Premium,Accessories,2,24.99,8.0,49.98,33.98,0.0,completed,DE,web
ORD-00022,2026-03-11,PROD-006,Phone Case - Premium,Accessories,5,24.99,8.0,124.95,84.95,0.0,completed,BE,marketplace
ORD-00023,2026-03-11,PROD-007,Leather Wallet,Accessories,2,39.99,15.0,79.98,49.98,0.0,completed,DE,mobile
ORD-00024,2026-03-11,PROD-008,Sunglasses - Aviator,Accessories,1,29.99,10.0,29.99,19.99,0.0,completed,FR,web
ORD-00025,2026-03-11,PROD-008,Sunglasses - Aviator,Accessories,1,29.99,10.0,29.99,19.99,0.0,completed,BE,marketplace
ORD-00026,2026-03-11,PROD-009,Running Shoes - Pro,Footwear,2,89.0,35.0,178.0,108.0,0.0,completed,NL,mobile
ORD-00027,2026-03-11,PROD-009,Running Shoes - Pro,Footwear,2,89.0,35.0,178.0,108.0,0.0,completed,DE,web
ORD-00028,2026-03-11,PROD-011,Casual Sneakers,Footwear,1,59.99,22.0,59.99,37.99,0.0,completed,FR,marketplace
ORD-00029,2026-03-11,PROD-011,Casual Sneakers,Footwear,1,59.99,22.0,59.99,37.99,0.0,completed,DE,mobile
ORD-00030,2026-03-11,PROD-011,Casual Sneakers,Footwear,2,59.99,22.0,119.98,75.98,0.0,completed,AT,mobile
ORD-00031,2026-03-11,PROD-012,Cotton T-Shirt,Clothing,1,19.99,6.0,19.99,13.99,0.0,completed,AT,mobile
ORD-00032,2026-03-11,PROD-012,Cotton T-Shirt,Clothing,1,19.99,6.0,19.99,13.99,0.0,completed,BE,mobile
ORD-00033,2026-03-11,PROD-012,Cotton T-Shirt,Clothing,1,19.99,6.0,19.99,13.99,0.0,completed,DE,web
ORD-00034,2026-03-11,PROD-013,Slim Fit Jeans,Clothing,1,49.99,18.0,49.99,31.99,0.0,completed,DE,mobile
ORD-00035,2026-03-11,PROD-013,Slim Fit Jeans,Clothing,1,49.99,18.0,49.99,31.99,0.0,completed,FR,web
ORD-00036,2026-03-11,PROD-014,Hoodie - Oversized,Clothing,1,44.99,16.0,44.99,28.99,0.0,completed,BE,mobile
ORD-00037,2026-03-11,PROD-014,Hoodie - Oversized,Clothing,1,44.99,16.0,44.99,28.99,0.0,completed,FR,web
ORD-00038,2026-03-11,PROD-015,Winter Jacket,Clothing,1,129.0,52.0,129.0,77.0,0.0,completed,NL,mobile
ORD-00039,2026-03-11,PROD-016,Yoga Mat,Home,1,29.99,10.0,29.99,19.99,0.0,completed,FR,web
ORD-00040,2026-03-11,PROD-016,Yoga Mat,Home,1,29.99,10.0,29.99,19.99,0.0,completed,AT,web
ORD-00041,2026-03-11,PROD-016,Yoga Mat,Home,1,29.99,10.0,29.99,19.99,0.0,completed,AT,marketplace
ORD-00042,2026-03-11,PROD-017,Stainless Water Bottle,Home,5,19.99,5.5,99.95,72.45,0.0,completed,BE,marketplace
ORD-00043,2026-03-11,PROD-017,Stainless Water Bottle,Home,2,19.99,5.5,39.98,28.98,0.0,completed,AT,web
ORD-00044,2026-03-11,PROD-017,Stainless Water Bottle,Home,1,19.99,5.5,19.99,14.49,0.0,completed,DE,marketplace
ORD-00045,2026-03-11,PROD-017,Stainless Water Bottle,Home,1,19.99,5.5,19.99,14.49,0.0,completed,AT,web
ORD-00046,2026-03-11,PROD-018,Scented Candle Set,Home,1,24.99,8.0,24.99,16.99,0.0,completed,DE,web
ORD-00047,2026-03-11,PROD-018,Scented Candle Set,Home,4,24.99,8.0,99.96,67.96,0.0,completed,AT,mobile
ORD-00048,2026-03-11,PROD-019,Desk Organizer,Home,1,22.99,7.5,22.99,15.49,0.0,completed,DE,marketplace
ORD-00049,2026-03-11,PROD-020,Backpack - Travel,Accessories,1,69.99,28.0,69.99,41.99,0.0,completed,DE,web
ORD-00050,2026-03-12,PROD-001,Wireless Headphones,Electronics,1,49.99,22.0,49.99,27.99,0.0,completed,AT,mobile
ORD-00051,2026-03-12,PROD-001,Wireless Headphones,Electronics,1,49.99,22.0,49.99,27.99,0.0,completed,DE,mobile
ORD-00052,2026-03-12,PROD-001,Wireless Headphones,Electronics,1,49.99,22.0,49.99,27.99,0.0,completed,NL,web
ORD-00053,2026-03-12,PROD-001,Wireless Headphones,Electronics,1,49.99,22.0,49.99,27.99,0.0,completed,DE,web
ORD-00054,2026-03-12,PROD-001,Wireless Headphones,Electronics,5,49.99,22.0,249.95,139.95,0.0,completed,DE,web
ORD-00055,2026-03-12,PROD-002,Bluetooth Speaker,Electronics,3,79.99,35.0,239.97,134.97,0.0,completed,DE,web
